"% Jungnickel graphs, Networks and Algorithms, fourth edition p. 214, fig. 6.24 same as p.172, fig 6.2
n 23.114583333333332 266.40625
n 177.11458333333331 436.64434523809524
n 175.94791666666666 268.7872023809524
n 329.9479166666667 269.97767857142856
n 483.9479166666667 437.83482142857144
n 481.6145833333333 335.45386904761904
n 175.94791666666666 130.69196428571428
n 646.1145833333333 268.7872023809524
e 3 5 8
e 3 4 20
e 4 5 1
e 2 3 26
e 1 4 13
e 1 3 10
e 0 2 1
e 0 1 38
e 1 2 8
e 4 7 7
e 5 7 7
e 3 7 1
e 6 7 27
e 3 6 24
e 0 6 2
e 4 2 2
